row_id,country,trigger,ls,benefit,trust,b_len,t_len,total_len,b_gib,t_gib,decision,reason
19121,ITA,longstring_exceed;mahalanobis_outlier,45.0,NA,òkljlklk,0,8,8,False,False,invalid,TRUST低元音/低多样性可疑(8字)
19776,ITA,longstring_exceed;mahalanobis_outlier,13.0,NA,"Il metodo, la strumentazione, le pubblicazioni, i riscontri sperimentali e il riconoscimento della comunità scientifica e degli organi di controllo eventuale",0,157,157,False,False,valid1,"TRUST有内容(157字), BENEFIT空"
19855,BEL,longstring_exceed;mahalanobis_outlier,14.0,NA,"Dat hij weet waarover hij spreekt.
De mensen op een simpele manier kan vertellen waar mee hij bezig is. ",0,103,103,False,False,valid1,"TRUST有内容(103字), BENEFIT空"
20077,BEL,longstring_exceed;mahalanobis_outlier,16.0,-99,NA,0,0,0,False,False,invalid,两题都空
20173,BEL,longstring_exceed;mahalanobis_outlier,13.0,NA,-99,0,0,0,False,False,invalid,两题都空
20296,DEU,longstring_exceed;mahalanobis_outlier,36.0,<<<<,NA,4,0,4,True,False,invalid,含乱码
20921,BEL,longstring_exceed;mahalanobis_outlier,16.0,NA,"l
La  FRANCHISSE ET LA VÉRACITÉ ",0,31,31,False,False,valid1,"TRUST有内容(31字), BENEFIT空"
21286,NLD,longstring_exceed;odd_even_low,16.0,NA,Goede en duidelijke uitleg die begrijpbaar is voor een groot gedeelte van de bevolking,0,86,86,False,False,valid1,"TRUST有内容(86字), BENEFIT空"
21439,ESP,longstring_exceed;odd_even_low,14.0,NA,Sus estudios ,0,12,12,False,False,valid1,TRUST有基本内容(12字)
22199,ESP,longstring_exceed;mahalanobis_outlier,14.0,NA,"Por la labor que desarrollan me merecen toda la confianza, salvo cuando aparecen personajes en noticieros que han sido aleccionados por políticos ( gobierno) para decir lo que ellos quieren ( gestión ",0,265,265,False,False,valid1,"TRUST有内容(265字), BENEFIT空"
22474,CYP,longstring_exceed;mahalanobis_outlier,16.0,NA,Οι τεκμηριωμένες θέσεις του,0,27,27,False,False,valid1,"TRUST有内容(27字), BENEFIT空"
22730,DEU,longstring_exceed;mahalanobis_outlier,15.0,NA,"Ehrliche, klare Aussagen ...",0,28,28,False,False,valid1,"TRUST有内容(28字), BENEFIT空"
2306,AUS,longstring_exceed;odd_even_low,16.0,NA,"Adherence to scientific principles, transparency, objectivity, excellent communicator, non judgemental, humble, outcomes focussed, passionate but not dogmatic, references sources of thought, separates",0,268,268,False,False,valid1,"TRUST有内容(268字), BENEFIT空"
23070,FIN,longstring_exceed;mahalanobis_outlier,15.0,NA,"Tieteet ovat luotettavimmillaan silloin kun ihmisten omilla mielipiteillä on vähiten vaikutusta. Esimerkiksi luonnontieteet.
",0,124,124,False,False,valid1,"TRUST有内容(124字), BENEFIT空"
23323,DEU,longstring_exceed;odd_even_low,14.0,NA,nichts,0,6,6,False,False,invalid,"内容极短(B=0, T=6)"
2337,AUS,longstring_exceed;odd_even_low,15.0,NA,ItÕs based on facts,0,19,19,False,False,valid1,"TRUST有内容(19字), BENEFIT空"
23422,DEU,longstring_exceed;odd_even_low,15.0,Die Menschheit an sich. Die Gesellschaft. Jeder Einzellne Mensch. Fortschritt in der Technik. Erkentnisstand der Menschen. Fortschritte in der Medizin zur Krankheitsbekämpfung.,NA,176,0,176,False,False,valid1,"BENEFIT有内容(176字), TRUST空"
23424,DEU,longstring_exceed;odd_even_low,13.0,"Wenn Wischenschaft wirklich im Sinnes der Worte Wissen schaft praktiziert wird, dann profitieren wir alle davon.

Leider wird oft die Wissenschaft von Großfirmen finanziell untertützt, die natürlich a",NA,292,0,292,False,False,valid1,"BENEFIT有内容(292字), TRUST空"
24421,CYP,longstring_exceed;mahalanobis_outlier,15.0,NA,Arxidia,0,7,7,False,False,invalid,"内容极短(B=0, T=7)"
25119,ESP,longstring_exceed;odd_even_low,13.0,De los adelantos de la ciencia e investigación en el campo de la sanidad!!,NA,74,0,74,False,False,valid1,"BENEFIT有内容(74字), TRUST空"
2585,AUS,longstring_exceed;mahalanobis_outlier,15.0,"Technology is the biggest benefit in my opinion whether it be a device for consumers or medical science used to help people
",NA,123,0,123,False,False,valid1,"BENEFIT有内容(123字), TRUST空"
25947,SVN,longstring_exceed;mahalanobis_outlier,35.0,NA,-99,0,0,0,False,False,invalid,两题都空
26011,GRC,longstring_exceed;odd_even_low,16.0,NA,"Εάν οι απόψεις του βασίζονται σε επιστημονικά δεδομένα.
Εάν οι προβλέψεις του επαληθεύονται",0,91,91,False,False,valid1,"TRUST有内容(91字), BENEFIT空"
26260,ESP,longstring_exceed;odd_even_low,13.0,"Todos nos beneficiamos por igual. En un momento nos beneficiamos unos y en otros momentos otros, pero es para el bien de todos.",NA,127,0,127,False,False,valid1,"BENEFIT有内容(127字), TRUST空"
26566,GRC,longstring_exceed;odd_even_low,22.0,NA,Να λέει την αλήθεια ,0,19,19,False,False,valid1,"TRUST有内容(19字), BENEFIT空"
26705,GRC,longstring_exceed;mahalanobis_outlier,15.0,"apo tin epistimh epofelite o anthropos
giati vasi epistimonikon prakseon 
h anthropotita den tha eixe thn shmerinh gnosi poy exei 
vasai ton ekselikseon poy prosferi oi epistimh ",NA,177,0,177,False,False,valid1,"BENEFIT有内容(177字), TRUST空"
26834,DEU,longstring_exceed;odd_even_low,16.0,"Die Pharmaindustrie, weil Sie das Zeug unter die Menschen bringen.",NA,66,0,66,False,False,valid1,"BENEFIT有内容(66字), TRUST空"
26877,GRC,longstring_exceed;mahalanobis_outlier,14.0,NA,Tipota,0,6,6,False,False,invalid,"内容极短(B=0, T=6)"
2755,AUS,longstring_exceed;mahalanobis_outlier,13.0,All of humanityÉ itÕs what excels us forward if the mind can conceive it science will achieve it,NA,96,0,96,False,False,valid1,"BENEFIT有内容(96字), TRUST空"
27612,DEU,longstring_exceed;odd_even_low,13.0,"Der Staat und die Bevölkerung gleichermaßen, den ein Fortschritt in der Wissenschaft bildet die Bevölkerung, welche wiederum die Wirtschaft und Technik mit ihrem Wissen profitabel macht.",NA,186,0,186,False,False,valid1,"BENEFIT有内容(186字), TRUST空"
27741,DEU,longstring_exceed;odd_even_low,13.0,"Die Wissenschaft, weil sie sich dadurch Ansehen verschafft.",NA,59,0,59,False,False,valid1,"BENEFIT有内容(59字), TRUST空"
2813,AUS,mahalanobis_outlier;odd_even_low,5.0,NA,Trusted sources,0,15,15,False,False,valid1,"TRUST有内容(15字), BENEFIT空"
28521,DEU,longstring_exceed;mahalanobis_outlier,19.0,"Die Wissenschaft selbst profitiert mehr davon, sie verdienen ja damit Geld",NA,74,0,74,False,False,valid1,"BENEFIT有内容(74字), TRUST空"
28896,FIN,longstring_exceed;odd_even_low,13.0,En tiiä,NA,7,0,7,False,False,invalid,"内容极短(B=7, T=0)"
29328,DEU,mahalanobis_outlier;odd_even_low,4.0,alle,NA,4,0,4,False,False,invalid,"内容极短(B=4, T=0)"
31351,DEU,longstring_exceed;mahalanobis_outlier,16.0,NA,kein Lobiist,0,12,12,False,False,valid1,TRUST有基本内容(12字)
31354,DEU,longstring_exceed;mahalanobis_outlier,14.0,NA,"Man erkennt bestimmte Prozessen in bestimmte Branchen, man erarbeitet neue versionen",0,84,84,False,False,valid1,"TRUST有内容(84字), BENEFIT空"
31797,DEU,longstring_exceed;mahalanobis_outlier,17.0,NA,Dass Thesen anhand von Fakten belegt werden können,0,50,50,False,False,valid1,"TRUST有内容(50字), BENEFIT空"
31834,DEU,longstring_exceed;odd_even_low,13.0,NA,Idee,0,4,4,False,False,invalid,"内容极短(B=0, T=4)"
31947,DEU,longstring_exceed;odd_even_low,13.0,NA,"Studium, Berufserfahrung, eigene Recherchen und Forschung, Spezialgebiete und Schulungen",0,88,88,False,False,valid1,"TRUST有内容(88字), BENEFIT空"
31989,DEU,longstring_exceed;mahalanobis_outlier,15.0,menschen der regierung ,NA,22,0,22,False,False,valid1,"BENEFIT有内容(22字), TRUST空"
32001,DEU,longstring_exceed;mahalanobis_outlier,13.0,"Wissenschaft ist sehr wichtig. Wenn ich alleine daran denke über die Herstellung des Impfstoffes über Corona, oder die Ergebnisse darüber. Klimawandel auch eine große Wissenschaft . Verschmutzung der ",NA,219,0,219,False,False,valid1,"BENEFIT有内容(219字), TRUST空"
32076,DEU,longstring_exceed;mahalanobis_outlier,16.0,"Einfach und simple die Industrie. Sie fertigen danach, ihre Produkte. Jetzt wo die Elektroenergie sündhaft teuer geworden ist, geht man zurück an die Urkräfte der Natur. Ich spreche hier speziell von ",NA,274,0,274,False,False,valid1,"BENEFIT有内容(274字), TRUST空"
32081,DEU,longstring_exceed;mahalanobis_outlier,13.0,NA,Wenn er seine Meinungen mit Studien wissenschaftlich belegen kann. ,0,66,66,False,False,valid1,"TRUST有内容(66字), BENEFIT空"
32172,DEU,longstring_exceed;mahalanobis_outlier,13.0,NA,Alles,0,5,5,False,False,invalid,"内容极短(B=0, T=5)"
3359,AUS,longstring_exceed;mahalanobis_outlier,16.0,"Science has always been here since the creation of the universe and our world, but science benefits all of mankind as it is the essence of our existence. All creation has been made with an equation",NA,197,0,197,False,False,valid1,"BENEFIT有内容(197字), TRUST空"
33732,GRC,longstring_exceed;odd_even_low,13.0,NA,Να βασιζει τα συμπερασματα του σε ερευνα,0,40,40,False,False,valid1,"TRUST有内容(40字), BENEFIT空"
34075,AUT,longstring_exceed;mahalanobis_outlier,16.0,-99,NA,0,0,0,False,False,invalid,两题都空
3424,AUS,longstring_exceed;odd_even_low,16.0,NA,"Science doesn't interest me. It's not a proven guarantee as everyone or everything is different,  no 2 the same",0,111,111,False,False,valid1,"TRUST有内容(111字), BENEFIT空"
34267,AUT,longstring_exceed;odd_even_low,15.0,"Wir alle profitieren davon. So wie sich alles ständig weiter entwickelt, muss auch die Wissenschaft ständig weiter forschen und neue Ergebnisse erzielen. Forschung ist sehr wichtig für die Menschheit.",NA,200,0,200,False,False,valid1,"BENEFIT有内容(200字), TRUST空"
34271,FRA,longstring_exceed;mahalanobis_outlier,17.0,NA,"Reconnaissance par d’autres scientifiques, mais surtout des résultats probants sur la bases d’expériences objectivement observables. ",0,132,132,False,False,valid1,"TRUST有内容(132字), BENEFIT空"
35055,FRA,mahalanobis_outlier;odd_even_low,12.0,La médecine beneficie le plus de la science avec les recherches scientifiques et les avancées technologiques ,NA,108,0,108,False,False,valid1,"BENEFIT有内容(108字), TRUST空"
35472,FRA,longstring_exceed;mahalanobis_outlier,14.0,Population ,NA,10,0,10,False,False,valid1,BENEFIT有基本内容(10字)
35721,FRA,longstring_exceed;odd_even_low,15.0,NA,Je ne sais pas ,0,14,14,False,False,valid1,TRUST有基本内容(14字)
35846,FRA,longstring_exceed;odd_even_low,13.0,Tout le monde dès lors que la science sert à améliorer la condition humaine en général.,NA,87,0,87,False,False,valid1,"BENEFIT有内容(87字), TRUST空"
36583,FRA,longstring_exceed;mahalanobis_outlier,31.0,NA,-99,0,0,0,False,False,invalid,两题都空
37772,SVK,longstring_exceed;mahalanobis_outlier,13.0,NA,Pravdivosť,0,10,10,False,False,valid1,TRUST有基本内容(10字)
38458,GRC,longstring_exceed;mahalanobis_outlier,19.0,Εγω ,NA,3,0,3,False,False,invalid,"内容极短(B=3, T=0)"
39592,GBR,longstring_exceed;mahalanobis_outlier,19.0,NA,im confused ,0,11,11,False,False,valid1,TRUST有基本内容(11字)
39738,GBR,longstring_exceed;odd_even_low,16.0,NA,The research and facts that back up the dialogue.,0,49,49,False,False,valid1,"TRUST有内容(49字), BENEFIT空"
39843,GBR,longstring_exceed;odd_even_low,13.0,NA,That they can provide the data and evidence about what they are informing the public about. ,0,91,91,False,False,valid1,"TRUST有内容(91字), BENEFIT空"
39983,GBR,longstring_exceed;mahalanobis_outlier,54.0,Curling things. Pity the Chinese ones created covid,NA,51,0,51,False,False,valid1,"BENEFIT有内容(51字), TRUST空"
4097,AUS,longstring_exceed;mahalanobis_outlier,16.0,NA,"Well the fact that they have a degree, and itÕs there job, I think we hope to think they will do the right thing",0,112,112,False,False,valid1,"TRUST有内容(112字), BENEFIT空"
41258,GEO,longstring_exceed;odd_even_low,13.0,не знаю,NA,7,0,7,False,False,invalid,"内容极短(B=7, T=0)"
42267,HKG,longstring_exceed;mahalanobis_outlier,14.0,NA,專家只偏幫政府，只顧著提升疫苗接種率，害好多人接種後出現後遺症，甚至死亡，但仍堅持跟疫苗無關。,0,47,47,False,False,valid1,"TRUST有内容(47字), BENEFIT空"
43178,HUN,longstring_exceed;odd_even_low,18.0,NA,Attol hogy milyen ember,0,23,23,False,False,valid1,"TRUST有内容(23字), BENEFIT空"
43216,IDN,longstring_exceed;odd_even_low,16.0,NA,Harus real dan sesuai fakta penelitian,0,38,38,False,False,valid1,"TRUST有内容(38字), BENEFIT空"
43371,IDN,longstring_exceed;odd_even_low,16.0,NA,Dengan adanya peer-reviewed researched,0,38,38,False,False,valid1,"TRUST有内容(38字), BENEFIT空"
43437,IDN,longstring_exceed;mahalanobis_outlier,13.0,Yang diuntungkan adalah orang yang menemukan ilmu pengetahuan,NA,61,0,61,False,False,valid1,"BENEFIT有内容(61字), TRUST空"
43836,IDN,longstring_exceed;odd_even_low,17.0,Orang orang yang berkompeten,NA,28,0,28,False,False,valid1,"BENEFIT有内容(28字), TRUST空"
44153,IDN,longstring_exceed;mahalanobis_outlier,13.0,NA,seorang ilmuwan dapat dipercaya apabila hasil penemuannya dipublikasikan secara luas dan gratis dengan manfaat senyatanya untuk kepentingan umat manusia dan bermanfaat banyak pada satu aspek atau bany,0,287,287,False,False,valid1,"TRUST有内容(287字), BENEFIT空"
45330,ISR,longstring_exceed;mahalanobis_outlier,16.0,NA,"מדען הוא אמין כאשר הדעה שלו מוצקה מבוססת אחרי שעשה ניסוי מהימן למשך חזרות רבות , כתב מאמר והתייעץ עם שמות דבר בתחום",0,115,115,False,False,valid1,"TRUST有内容(115字), BENEFIT空"
45939,ISR,longstring_exceed;odd_even_low,16.0,NA,הצגת כל הנתונים וממצאים שלו גם אם הוא לא הצליח להוכיח כלום,0,58,58,False,False,valid1,"TRUST有内容(58字), BENEFIT空"
46305,ISR,longstring_exceed;mahalanobis_outlier,13.0,NA,מחקרים שונים,0,12,12,False,False,valid1,TRUST有基本内容(12字)
46567,IND,longstring_exceed;mahalanobis_outlier,14.0,"Science teaches you how to solve probls
Science helps us live longer. 
Science is involved in cooking.,eating, breathing, driving, playing etc. 
We use shampoo, talcum powder, brush and paste every th",NA,233,0,233,False,False,valid1,"BENEFIT有内容(233字), TRUST空"
46657,IND,longstring_exceed;odd_even_low,35.0,useful inthe future ,NA,19,0,19,False,False,valid1,"BENEFIT有内容(19字), TRUST空"
4745,BGD,longstring_exceed;mahalanobis_outlier,32.0,NA,নির্ভুল পরীক্ষা-নিরীক্ষার মাধ্যমে সিদ্ধান্ত নেয়া,0,48,48,False,False,valid1,"TRUST有内容(48字), BENEFIT空"
47510,JPN,longstring_exceed;mahalanobis_outlier,13.0,NA,冷静、エモーショナル、誠実、客観的視点、根気,0,22,22,False,False,valid1,"TRUST有内容(22字), BENEFIT空"
47707,JPN,longstring_exceed;mahalanobis_outlier,15.0,医療関係者,NA,5,0,5,False,False,invalid,"内容极短(B=5, T=0)"
4963,BGR,longstring_exceed;mahalanobis_outlier,19.0,NA,.,0,1,1,False,True,invalid,含乱码
49773,MAR,longstring_exceed;mahalanobis_outlier,17.0,NA,Ekeldojdfodkdpdl,0,16,16,False,False,valid1,"TRUST有内容(16字), BENEFIT空"
50908,MYS,longstring_exceed;odd_even_low,16.0,Kami,NA,4,0,4,False,False,invalid,"内容极短(B=4, T=0)"
52288,NGA,longstring_exceed;mahalanobis_outlier,15.0,NA,Because always science deals with experiment and hypothesis ,0,59,59,False,False,valid1,"TRUST有内容(59字), BENEFIT空"
52725,NIC,longstring_exceed;odd_even_low,16.0,Los que crean o inventan algún producto que sea para bien o para mal de la humanidad ,NA,84,0,84,False,False,valid1,"BENEFIT有内容(84字), TRUST空"
54574,NZL,longstring_exceed;odd_even_low,16.0,NA,research,0,8,8,False,False,valid1,TRUST有基本内容(8字)
54954,NZL,longstring_exceed;mahalanobis_outlier,15.0,Science is a lie covidIOT is a hoax and the death jab is the genocidal plandemic to wipe out the world population just visit the world economic forum it's all there they want us all dead and the rest ,NA,239,0,239,False,False,valid1,"BENEFIT有内容(239字), TRUST空"
55428,NZL,longstring_exceed;mahalanobis_outlier,15.0,NA,Not sure.,0,9,9,False,False,valid1,TRUST有基本内容(9字)
5562,BOL,longstring_exceed;mahalanobis_outlier,13.0,NA,Tener buena conducta y decir laverdad ,0,37,37,False,False,valid1,"TRUST有内容(37字), BENEFIT空"
55716,PER,longstring_exceed;odd_even_low,13.0,La sociedad porq hay nuevos conocimientos ,NA,41,0,41,False,False,valid1,"BENEFIT有内容(41字), TRUST空"
55727,PER,longstring_exceed;odd_even_low,16.0,Dependiendo la rama de la ciencia...en el caso de las enfermedades..las farmaceuticas. En el caso del cambio climatico... la humanidad entera,NA,141,0,141,False,False,valid1,"BENEFIT有内容(141字), TRUST空"
56369,PHL,longstring_exceed;mahalanobis_outlier,18.0,Prefer not say,NA,14,0,14,False,False,valid1,BENEFIT有基本内容(14字)
5675,BOL,longstring_exceed;mahalanobis_outlier,16.0,Todas las personas porque es pará nuestro beneficio,NA,51,0,51,False,False,valid1,"BENEFIT有内容(51字), TRUST空"
56895,POL,longstring_exceed;odd_even_low,14.0,NA,to wszystko zależy od jego postawy jakim jest naukowcem czy baranem czy oświeconym,0,82,82,False,False,valid1,"TRUST有内容(82字), BENEFIT空"
56914,POL,longstring_exceed;odd_even_low,15.0,my zwykli ludzie bo dzieki wiedzy nasz swiat staje sie lepszy a dzieki technologi latwiej tez sie zyje ,NA,102,0,102,False,False,valid1,"BENEFIT有内容(102字), TRUST空"
5698,BOL,longstring_exceed;odd_even_low,15.0,NA,"Que salga a decir delante de las personas todo lo que sabe no en una conferencia, no en una revista , no en televisión
 Si no al aire libre a la gente sin que se lo pregunten.",0,175,175,False,False,valid1,"TRUST有内容(175字), BENEFIT空"
58404,POL,longstring_exceed;mahalanobis_outlier,18.0,Ja,NA,2,0,2,False,False,invalid,一题几无内容+另一题空
58704,POL,longstring_exceed;mahalanobis_outlier,15.0,NA,Nie lansuje sie,0,15,15,False,False,valid1,"TRUST有内容(15字), BENEFIT空"
59212,POL,longstring_exceed;mahalanobis_outlier,13.0,Ja bo jestem mądry,NA,18,0,18,False,False,valid1,"BENEFIT有内容(18字), TRUST空"
59338,POL,longstring_exceed;mahalanobis_outlier,14.0,Korporacje żeby mieć nad nami władze.,NA,37,0,37,False,False,valid1,"BENEFIT有内容(37字), TRUST空"
59509,POL,longstring_exceed;odd_even_low,14.0,Zyski z nauki powinien czerpać każdy z nas tylko nie każdy chce to robic,NA,72,0,72,False,False,valid1,"BENEFIT有内容(72字), TRUST空"
60162,ROU,attention_fail;longstring_exceed,16.0,"Toată lumea beneficiază sau măcar asta se intenționează.
De ce? 
Cred ca îmbunătățește in mare măsură viata noastră a tuturor.",NA,126,0,126,False,False,valid1,"BENEFIT有内容(126字), TRUST空"
60477,SRB,longstring_exceed;mahalanobis_outlier,20.0,NA,Sve,0,3,3,False,False,invalid,"内容极短(B=0, T=3)"
60523,SRB,longstring_exceed;odd_even_low,15.0,Svaki gradjanin ima koristi od nauke. Nauka nas okruzuje i trebamo je iskoristiti u pozitivnom smislu. ,NA,102,0,102,False,False,valid1,"BENEFIT有内容(102字), TRUST空"
61254,RUS,longstring_exceed;mahalanobis_outlier,13.0,NA,Преданность делу.,0,17,17,False,False,valid1,"TRUST有内容(17字), BENEFIT空"
62433,SWE,longstring_exceed;odd_even_low,16.0,NA,Att hen inte blandar ihop forskningen och dess resultat med sina egna personliga åsikter.,0,89,89,False,False,valid1,"TRUST有内容(89字), BENEFIT空"
62954,SWE,longstring_exceed;odd_even_low,13.0,NA,Vet tyvärr inte,0,15,15,False,False,valid1,"TRUST有内容(15字), BENEFIT空"
63029,SWE,longstring_exceed;mahalanobis_outlier,14.0,NA,Att den når resultat ,0,20,20,False,False,valid1,"TRUST有内容(20字), BENEFIT空"
63253,SWE,longstring_exceed;mahalanobis_outlier,15.0,NA,Faktumet att dom har fler oberoende forskare som kontonuerligt bekräftar deras fynd. Inget annat är godtagbart. ,0,111,111,False,False,valid1,"TRUST有内容(111字), BENEFIT空"
6360,BRA,longstring_exceed;odd_even_low,15.0,"Todos nós nos beneficiados da ciência,  ela está en tudo,  desde i que comemos, medicamentos,  tudo é ciência.",NA,110,0,110,False,False,valid1,"BENEFIT有内容(110字), TRUST空"
63903,TWN,longstring_exceed;mahalanobis_outlier,17.0,NA,多次實驗,0,4,4,False,False,invalid,"内容极短(B=0, T=4)"
64140,TWN,longstring_exceed;odd_even_low,13.0,"天文家, 工作上需要",NA,10,0,10,False,False,valid1,BENEFIT有基本内容(10字)
64536,TWN,longstring_exceed;mahalanobis_outlier,15.0,NA,實事求是驗證學術資訊數位化,0,13,13,False,False,valid1,TRUST有基本内容(13字)
64566,TWN,longstring_exceed;odd_even_low,13.0,全人類,NA,3,0,3,False,False,invalid,"内容极短(B=3, T=0)"
64692,TWN,longstring_exceed;odd_even_low,15.0,"人類
科技始終於人性",NA,10,0,10,False,False,valid1,BENEFIT有基本内容(10字)
66499,UGA,longstring_exceed;mahalanobis_outlier,17.0,NA,scientist are very important in our community in the following ways doctors treat sick people they helped a lot in saving life when covid 19 break out. Science teachers help in teaching our children t,0,380,380,False,False,valid1,"TRUST有内容(380字), BENEFIT空"
66722,USA,longstring_exceed;mahalanobis_outlier,13.0,NA,It makes him trustworthy if he test and study on what’s happening before just jumping in on something ,0,101,101,False,False,valid1,"TRUST有内容(101字), BENEFIT空"
66939,USA,longstring_exceed;mahalanobis_outlier,15.0,It benefits more,NA,16,0,16,False,False,valid1,"BENEFIT有内容(16字), TRUST空"
