row_id,COUNTRY_CODE,BENEFIT_OPEN,TRUST_OPEN,auto_decision,auto_reason
39025,PRT,Toda a gente fica a ganhar com a ciência no entanto esta tem de ser ética e moralmente respeitada não pode servir lobbies das grandes multinacionais. ,"A sua objetividade, argumentação robusta e inviolável e garantia de total imparcialidade perante empresas, governos ou qualquer autoridade/entidade. ",valid,
39032,PRT,jh,kjg,invalid,非语言/键盘乱敲
39039,PRT,O setor tecnológico ,As suas pesquisas,valid,
39042,PRT,As empresas que fazem os estudos que são financiados pelos governos já que lhes dão muito dinheiro,"A empresa que fornece os dados, dependendo da empresa o cientista pode ser confiável ou não",valid,
43205,IDN,"Diri kita sendiri, karena dengan begitu kita bisa mendapatkan wawasan ",NA,valid,
43221,IDN,NA,Karena kecerdasan dan keahlian dibidang nya,valid,
43229,IDN,NA,Dari hasil penelitiannya,valid,
43244,IDN,NA,Karya ilmiah ,valid,
43245,IDN,NA,Telah mekakukan penelitian dan riset yg benar,valid,
43261,IDN,"orang yang mau belajar, karena banyak manfaat dari pengetahuan ",NA,valid,
43281,IDN,NA,Ok,invalid,非语言/键盘乱敲
43307,IDN,"Anak anak karena mereka dalam masa pengenalan ,perkembangan dan rasa ingin tau yang tinggi sehingga bisa mudah diingat dan dipelajari",NA,valid,
43310,IDN,Manusia karena bertambah pintar,NA,valid,
43327,IDN,"Ilmu Pengetahuan sangat penting, apalagi di era seperti saat ini yang segala macam informasi dapat dengan mudah didapat",NA,valid,
43334,IDN,"Yang paling di untung kan adalah kita, dengan adanya pembekalan ilmu pengetahuan kita menjadi manusia yang punya pengetahuan yang luas.",NA,valid,
43341,IDN,NA,Penelitian nya,valid,
43356,IDN,NA,karyanya indepeden tidak mempolitisasi,valid,
43388,IDN,Diri sendiri,NA,valid,
43394,IDN,NA,"Karyanya sesuai ilmiah, dan nyata",valid,
43413,IDN,NA,Dasar ilmunya,valid,
43418,IDN,NA,Ilmu yang ditempanya,valid,
43429,IDN,NA,karena pengetahuanya cukup tinggi dan telah tereuji,valid,
43431,IDN,NA,selama omongannya masuk dia akal,valid,
43468,IDN,masyarakat berkat penemuan - penemuan yang bisa diterapkan di berbagai aspek,NA,valid,
43474,IDN,NA,dapat dipercaya bila disertai bukti dan hasil dari penelitian yang akurat,valid,
43475,IDN,Semua masyarakat memperoleh manfaat dari ilmu pengetahuan,NA,valid,
43487,IDN,manusia . karena manusia memiliki akal,NA,valid,
43503,IDN,NA,Penjelasan dari hasil penelitiannya dan bukti dari hasil yang dia pelajari. ,valid,
43507,IDN,Manusia karena orang di dunia ini pasti membutuhkan suatu pengetahuan.,NA,valid,
43509,IDN,NA,ilmuwan yang ketika berbicara sesuai fakta dan tidak mengada-ada,valid,
43539,IDN,manusia tentunya,NA,valid,
43556,IDN,NA,"Y
",invalid,单字母
43562,IDN,NA,karena ahli dibidangnya dan lebih kredibel,valid,
43575,IDN,"Manusia karena bisa menambah wawasan pengetahuan, mengeksplorw dan mengedukasi diri sendiri dan orang lain",NA,valid,
43587,IDN,"Masyarakat
Karena sangat bermanfaat",NA,valid,
43596,IDN,diri kita sediri,NA,valid,
43607,IDN,masyarakat karena dapat kemudahan dari ilmu pengetahuan,NA,valid,
43622,IDN,"Manusia, karena dengan adanya ilmu pengetahuan manusia bisa mengeksplor lebih dalam tentang segala hal yang ada di dunia ini",NA,valid,
43636,IDN,"yang diuntungkan penemu dan masyarakat, jika penemuan tersebut murni untum kepentingan umum",NA,valid,
43639,IDN,Kita semua diuntungkan ,NA,valid,
43647,IDN,NA,Kita semu diuntungkan,valid,
43665,IDN,yang punya pendidikan tertinggi,NA,valid,
43687,IDN,ada,NA,invalid,"BENEFIT: 泛词 ""ada"""
43695,IDN,NA,Kepandaiannya,valid,
43701,IDN,Masyarakat,NA,valid,
43711,IDN,Kita semua,NA,valid,
43719,IDN,Kita semua ,NA,valid,
43727,IDN,manusia karena semakin memudahkan hidup manusia ,NA,valid,
43730,IDN,NA,Karena penelitian yang sudah di uji dengan baik dan sangat teliti,valid,
43731,IDN,NA,jika sudah ada hasil riset,valid,
43734,IDN,Tidak ada komentar. Terima kasih.,NA,valid,
43738,IDN,"orang yang share ilmunya, karna berbuat kebaikan",NA,valid,
43740,IDN,NA,"karena seorang ilmuwan telah melakukan penelitian,sehingga apa yang d hasilkannya kemungkinan dapat dipercaya",valid,
43745,IDN,"yang paling diuntungkan dari Ilmu Pengetahuan yaitu pengusaha, dengan ada nya llmu pengetahuan bisa menambah lahan untuk membuka usaha yang baru",NA,valid,
43747,IDN,NA,ya dapat dipercaya karena penelitian nya,valid,
43757,IDN,manusia karena terbantukan adanya teknologi yang mutahir menjadikan manusia terbantu atas kecanggihan teknologi tersebut,NA,valid,
43779,IDN,Pemerintah. Karena pemerintah mempunyai kekuasaan penuh,NA,valid,
43815,IDN,NA,Ide cemerlang nya atau hasil dr experimen yg berhasil di gunakan,valid,
43820,IDN,NA,karena fakta dan opini telah di buktikan secara nyata,valid,
43821,IDN,"Kita semua di untungkan, karena membantu kehidupan kita ke depan",NA,valid,
43828,IDN,NA,ilmunya bermanfaat,valid,
43831,IDN,wawasan untuk melakukan suatu hal,NA,valid,
43839,IDN,semua orang. dengan ilmu pengetahuan kehidupan akan lebih baik,NA,valid,
43841,IDN,manusia pemakai,NA,valid,
43851,IDN,NA,Dengan karya tulisan nya dan teori serta praktek yang ia jalanin atau temukan,valid,
43856,IDN,NA,Memberikan penjelasan ilmiah yang mudah dipahami orang awam,valid,
43858,IDN,semua orang karena dengan ilmu pengetahuan membuat hidup manusia lebih tertata rapi dan terstruktur,NA,valid,
43874,IDN,"Orang banyak, karena ilmu pengetahuan merupakan ilmu yang dapat di nikmati oleh semua orang.",NA,valid,
43882,IDN,Diri sendiri karena ilmu pengetahuan sangat penting untuk bejar ,NA,valid,
43892,IDN,manusia yang mampu menggunakannya,NA,valid,
43903,IDN,semua umat manusia,NA,valid,
43904,IDN,Kita sendiri karna kita dapat mengetahui ke lanjutan hidup kita dengan ilmu pengetahuan dan tujuan hidup kita mau d arahkan ke mna,NA,valid,
43928,IDN,NA,dapat dipercaya,valid,
43930,IDN,NA,dapat,invalid,"TRUST: 泛词 ""dapat"""
43943,IDN,NA,Hasil penelitiannya dapat dipertanggungjawabkan dan sesuai data data uji,valid,
43944,IDN,NA,implementasinya dimasyarakat,valid,
43946,IDN,Penemuan yang berguna ,NA,valid,
43950,IDN,Rakyat jelata,NA,valid,
43960,IDN,NA,sebelumnya telah ujicoba dan riset,valid,
43973,IDN,NA,Penemuan yang berguna,valid,
43974,IDN,manusai,NA,valid,
43979,IDN,NA,"sebenarnya tidak hanya semua sudah sesuai prosedur bahwa setiap orng yg bersekolah wajib memberikan ilmunya untuk bangsa dan negara, sehingga layaknya bisa dipercaya",valid,
43999,IDN,seluruh penduduk dunia,NA,valid,
44004,IDN,NA,lemutakhiran hasil penemuannya,valid,
44020,IDN,NA,Dipercaya jika dia membuat penemuan yang bermanfaat bagi manusia,valid,
44045,IDN,masyarakat luas karena sangat penting bagi kelangsungan hidup individu lainnya,NA,valid,
44047,IDN,Umat manusia secara garis besar karena memberikan dampak yang besar dalam kehidupan,NA,valid,
44054,IDN,NA,Hasil penelitiannya memang terbukti,valid,
44060,IDN,masyarakat karna wawasan kita jadi berkembang,NA,valid,
44065,IDN,Orang-orang yang memiliki tujuan tertentu yang mengarah pada objek tertentu,NA,valid,
44071,IDN,orang yang memanfaatkan dengan baik ilmu pengetahuan itu,NA,valid,
44083,IDN,Masyarakat  karena Menurut Anda siapa yang paling diuntungkan dari ilmu pengetahuan d,NA,valid,
44090,IDN,NA,Tidak ada komentar ,valid,
44091,IDN,"yang paling diuntungkan dari ilmu prngetahuan adalah produsen perangkat, karena mereka bisa membuat dan menjaul perangkat kepada masyarakat",NA,valid,
44095,IDN,NA,dia berkata sejujur jujurnya tentang apa yang dia lakukan,valid,
44108,IDN,Ilmuan sendiri dan orang sekitar,NA,valid,
44115,IDN,NA,hanya jika ilmuwan tersebut dapat memberikan bukti dan fakta secara nyata tentang apa yang mereka pelajari dan mereka teliti dan dapat bermanfaat bagi semua makhluk hidup ,valid,
44125,IDN,Negara ,NA,valid,
44128,IDN,"Manusia, karena dengan ilmu pengetahuan, manusia dapat memahami hal-hal di dunia kemudian dimanfaatkan untuk kehidupannya menjadi lebih baik.",NA,valid,
44164,IDN,Banyak orang yang akan mendapatkan manfaat dari ilmu pengetahuna tersebut.,NA,valid,
44177,IDN,NA,dari ilmu pengetahuan yang dia miliki dan pelajari cukup lama.  dan gelar dan prestasi yang dia miliki ,valid,
44202,IDN,ilmu untuk bertahan hidup di dunia,NA,valid,
44210,IDN,diri sendiri karena ilmu itu penting,NA,valid,
44216,IDN,"Pemeeintah , karena untuk kepentingan bersama",NA,valid,
44236,IDN,NA,karna karya nya yang dapat dipercaya dan sangat luarbiasa,valid,
44237,IDN,NA,karena berdasarkan fakta yang telah dilakukan,valid,
44238,IDN,NA,karena seorang ilmuan membuat keputusan berdasarkan ilmiah yang diuji kebenarannya sebelumnya,valid,
44244,IDN,NA,Bisa,invalid,"TRUST: 泛词 ""Bisa"""
44248,IDN,seluruh masyarakat bumi karena mereka yang akan mendapatkanya dan memiliki ,NA,valid,
44251,IDN,"MASYARAKAT LUAS, KARENA SIAPAPUN BISA MENIKMATI HASILNYA",NA,valid,
44263,IDN,NA,Bukti ilmiah,valid,
44265,IDN,NA,Hasil dari teorinya,valid,
44267,IDN,Yang diuntungkan dari ilmu pengetahuan adalah usahawan dan pemakai kreatif,NA,valid,
